datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:39:11,dm-2,0.0,0.0,760.0,0.0,6080.0,0.0,16.0,0.32,0.42,0.42,0.0,0.38,28.6
14/07/18 16:39:12,dm-2,0.0,0.0,573.0,0.0,4576.0,0.0,15.97,0.24,0.43,0.43,0.0,0.38,21.9
14/07/18 16:39:13,dm-2,0.0,0.0,675.0,0.0,5392.0,0.0,15.98,0.27,0.4,0.4,0.0,0.36,24.0
14/07/18 16:39:14,dm-2,0.0,0.0,1199.0,0.0,10716.0,0.0,17.87,0.5,0.42,0.42,0.0,0.32,38.2
14/07/18 16:39:15,dm-2,0.0,0.0,1493.0,0.0,11936.0,0.0,15.99,0.57,0.38,0.38,0.0,0.3,44.7
14/07/18 16:39:16,dm-2,0.0,0.0,1151.0,0.0,9208.0,0.0,16.0,0.55,0.48,0.48,0.0,0.39,44.7
14/07/18 16:39:17,dm-2,0.0,0.0,862.0,0.0,6896.0,0.0,16.0,0.44,0.51,0.51,0.0,0.42,36.5
14/07/18 16:39:18,dm-2,0.0,0.0,718.0,0.0,5736.0,0.0,15.98,0.38,0.53,0.53,0.0,0.46,32.7
14/07/18 16:39:19,dm-2,0.0,0.0,965.0,0.0,7712.0,0.0,15.98,0.47,0.48,0.48,0.0,0.41,39.5
14/07/18 16:39:20,dm-2,0.0,0.0,726.0,0.0,5792.0,0.0,15.96,0.36,0.5,0.5,0.0,0.42,30.8
14/07/18 16:39:21,dm-2,0.0,0.0,482.0,0.0,3856.0,0.0,16.0,0.2,0.43,0.43,0.0,0.4,19.1
14/07/18 16:39:22,dm-2,0.0,0.0,1237.0,0.0,9896.0,0.0,16.0,0.49,0.39,0.39,0.0,0.35,42.7
14/07/18 16:39:23,dm-2,0.0,0.0,1964.0,0.0,15712.0,0.0,16.0,0.7,0.36,0.36,0.0,0.27,52.1
14/07/18 16:39:24,dm-2,0.0,0.0,3127.0,13.0,25016.0,208.0,16.07,1.16,0.37,0.37,0.69,0.23,72.5
14/07/18 16:39:25,dm-2,0.0,0.0,1669.0,0.0,13336.0,0.0,15.98,0.67,0.4,0.4,0.0,0.29,47.7
14/07/18 16:39:26,dm-2,0.0,0.0,1106.0,0.0,8840.0,0.0,15.99,0.41,0.37,0.37,0.0,0.32,35.0
14/07/18 16:39:27,dm-2,0.0,0.0,1518.0,2460.0,12136.0,29736.0,21.05,3.14,0.78,0.4,1.02,0.14,54.9
14/07/18 16:39:28,dm-2,0.0,0.0,2001.0,0.0,16008.0,0.0,16.0,0.72,0.36,0.36,0.0,0.28,55.9
14/07/18 16:39:29,dm-2,0.0,0.0,955.0,0.0,7640.0,0.0,16.0,0.39,0.41,0.41,0.0,0.32,30.7
14/07/18 16:39:30,dm-2,0.0,0.0,740.0,0.0,5920.0,0.0,16.0,0.3,0.41,0.41,0.0,0.34,25.4
14/07/18 16:39:31,dm-2,0.0,0.0,1930.0,0.0,15440.0,0.0,16.0,0.72,0.37,0.37,0.0,0.28,53.1
14/07/18 16:39:32,dm-2,0.0,0.0,740.0,0.0,5920.0,0.0,16.0,0.31,0.41,0.41,0.0,0.34,24.8
14/07/18 16:39:33,dm-2,0.0,0.0,1420.0,0.0,11352.0,0.0,15.99,0.53,0.37,0.37,0.0,0.3,42.5
