datetime,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
07/14/2018 16:39:28,872521,0,0,1791,336.13,76262,0,399880,0,19,0,0,434,45652,0,0,71,6,0,0,0,0,0,0,291,0,0,98781,40641
07/14/2018 16:39:29,1388146,0,0,922,749.93,85174,0,451473,0,38,0,0,652,45757,0,0,84,6,0,0,0,0,0,0,291,0,0,143810,50835
07/14/2018 16:39:30,782750,0,0,759,708.93,79672,0,331363,0,54,0,0,959,45875,0,0,98,6,0,0,0,0,0,0,291,0,0,82562,42397
07/14/2018 16:39:31,1783315,0,0,1897,417.16,108550,0,447751,0,0,0,0,1000,46036,0,0,46,4,0,0,0,0,0,0,291,0,0,159956,70314
07/14/2018 16:39:32,1058245,0,0,756,994.08,82121,0,476467,0,0,0,0,1051,46112,0,0,79,5,0,0,0,0,0,0,291,0,0,102402,40012
07/14/2018 16:39:33,970452,0,0,1362,442.08,75031,0,431661,0,0,0,0,1111,46223,0,0,64,6,0,0,0,0,0,0,291,0,0,95733,39807
07/14/2018 16:39:34,1503398,0,0,1648,518.03,84952,0,527085,0,0,0,0,1148,46331,0,0,92,5,0,0,0,0,0,0,291,0,0,113711,45493
07/14/2018 16:39:35,1204580,0,0,3325,179.61,85788,0,356963,0,0,0,0,1166,46463,0,0,55,4,0,0,0,0,0,0,291,0,0,92141,44057
07/14/2018 16:39:36,1082542,0,0,837,759.18,78457,0,454856,0,0,0,0,1192,46580,0,0,84,6,0,0,0,0,0,0,291,0,0,96277,41207
07/14/2018 16:39:37,950103,0,0,806,713.43,82736,0,397924,0,0,0,0,1221,46692,0,0,111,5,0,0,0,0,0,0,291,0,0,94260,47378
07/14/2018 16:39:38,1648113,0,0,1782,421.95,74236,0,461617,0,27,0,0,1371,46823,0,0,90,6,0,0,0,0,0,0,291,0,0,78315,32275
